Image Path,Translation Text
./safaiticImages/im0037479.jpg,By Ḫlf son of ʾs¹n
./safaiticImages/im0037481.jpg,By Ns²dʾl son of Ṣʿd son of Frs¹
./safaiticImages/im0037482.jpg,By Hms¹k son of Hnʾ
./safaiticImages/im0023780.jpg,By Fḍg son of S¹lm
./safaiticImages/im0058159.jpg,By Ḥdṯ son of Mḫr son of Gmḥy son of ʿnqt son of Kmd
./safaiticImages/im0037485.jpg,By Fhd son of ʾdm
./safaiticImages/im0037487.jpg,By ʾs¹y son of Nhb
./safaiticImages/im0037488.jpg,By S¹wd son of Ḍr
./safaiticImages/im0037489.jpg,By Bdr son of ʿmd son of S²r
./safaiticImages/im0037490.jpg,By Qls¹ son of Mty
./safaiticImages/im0037491.jpg,By S¹lm son of Kl
./safaiticImages/im0037492.jpg,By ʾws¹ son of ʾnhk son of Hmlk son of S¹ʿdlh son of Qṭ son of ʿbd
./safaiticImages/im0037493.jpg,By Klbt son of Drb son of S²ʿ is the she-camel
./safaiticImages/im0037494.jpg,By Bnfrk
./safaiticImages/im0037495.jpg,By ʿmr son of Frk
./safaiticImages/im0037496.jpg,{By} S¹lm son of Mlk
./safaiticImages/im0037498.jpg,By Ḫḏm son of Ḥrb
./safaiticImages/im0037502.jpg,By Ṣʿb son of Whb is the inscription
./safaiticImages/im0037503.jpg,By Qdm son of Frs¹
./safaiticImages/im0037504.jpg,By Yṯʿ son of Frs¹
./safaiticImages/im0037505.jpg,By Mnʿt son of ʿtq
./safaiticImages/im0037506.jpg,By Hnʾ son of Rhb
./safaiticImages/im0037507.jpg,By ʿly son of Ns²dʾl son of Ḥrb
./safaiticImages/im0037509.jpg,By ʿmr
./safaiticImages/im0037510.jpg,By Ṣbḥ son of Hs¹lm son of S²yb
./safaiticImages/im0037921.jpg,By S¹by son of Bṭlt
./safaiticImages/im0037922.jpg,By Ḫlf son of ʾdd
./safaiticImages/im0037513.jpg,By S¹lm son of Mlk is the young she-camel
./safaiticImages/im0037515.jpg,By ʾnʿm son of ʿhm
./safaiticImages/im0037516.jpg,By ʾkbr ----
./safaiticImages/im0037518.jpg,By Qym son of Kfl
./safaiticImages/im0037522.jpg,By ʿbd son of S²ʿ
./safaiticImages/im0037528.jpg,By Ḥnnt son of Bṣt son of Ḥg
./safaiticImages/im0037529.jpg,By ʿhm son of ʿḏr
./safaiticImages/im0037532.jpg,By Gs²n son of Lhb
./safaiticImages/im0037533.jpg,By Kmd son of Hnʾ
./safaiticImages/im0037534.jpg,By Nhb son of S²rd
./safaiticImages/im0037536.jpg,By S¹lm son of ʿqrb son of Rhs¹
./safaiticImages/im0037538.jpg,By Ḫrṣ son of ʿbd
./safaiticImages/im0037539.jpg,{By} Grs² son of ʾznm
./safaiticImages/im0037544.jpg,By Ḫrṣ son of {Rṭyh} son of Mʿn son of ʿmr son of Qfrt son of ʿmd
./safaiticImages/im0037546.jpg,By Wtk son of Rs¹ṭ son of S¹rʾ of the lineage of Ḍyf
./safaiticImages/im0037552.jpg,By Nhr son of ʾmr
./safaiticImages/im0037561.jpg,By ʾnhb son of ʾrs¹ʿ son of Tmlh son of Rhs² son of Bnt of the lineage of Bgd so O Lt [grant] security
